callid,agentid,customerid,pickedup,duration,productsold,transaction_date
53,5,670,1,227,0,2024-06-11
54,0,972,1,198,0,2024-02-02
55,8,517,0,0,0,2024-01-16
56,9,267,1,130,0,2024-02-17
57,10,94,1,151,1,2024-10-30
58,7,957,1,204,0,2024-10-01
59,4,160,1,107,0,2024-03-19
60,3,40,1,220,1,2024-04-03
61,6,373,1,137,1,2024-05-27
62,8,861,1,104,1,2024-10-15
63,5,51,1,166,0,2024-03-15
64,10,564,1,289,0,2024-03-09
65,7,12,1,259,0,2024-07-11
66,6,402,1,249,0,2024-07-26
67,4,668,1,175,0,2024-01-21
68,8,986,0,0,0,2024-03-21
69,3,187,1,219,1,2024-11-13
70,10,19,1,121,0,2024-07-01
71,1,501,1,124,0,2024-05-07
72,8,952,1,243,0,2024-11-23
73,10,297,1,136,0,2024-01-23
74,2,625,1,300,1,2024-04-07
75,10,592,1,163,0,2024-04-05
76,3,789,1,173,0,2024-09-09
77,8,165,0,0,0,2024-04-03
78,5,674,1,159,0,2024-10-14
79,7,482,1,239,0,2024-11-12
80,4,73,1,205,0,2024-10-09
81,6,764,1,119,1,2024-12-14
82,6,221,1,200,0,2024-10-20
83,9,201,1,257,0,2024-11-05
84,0,77,1,101,0,2024-03-15
85,4,627,0,0,0,2024-11-03
86,2,694,1,203,0,2024-04-24
87,6,782,0,0,0,2024-04-18
88,2,292,1,176,0,2024-07-03
89,1,801,1,175,1,2024-02-29
90,0,117,1,114,0,2024-01-22
91,8,905,1,263,0,2024-10-05
92,8,933,1,142,0,2024-03-15
93,5,657,0,0,0,2024-12-08
94,3,900,1,103,1,2024-04-29
95,10,267,1,209,0,2024-08-02
96,1,866,1,145,0,2024-12-01
97,1,425,1,126,0,2024-12-31
98,4,521,1,186,0,2024-12-03
99,10,835,0,0,0,2024-10-23
100,-1,585,0,0,0,2024-09-24
101,3,901,1,136,1,2024-09-08
102,2,197,0,0,0,2024-09-07
103,5,694,0,0,0,2024-05-20
104,9,670,1,181,0,2024-05-08
105,2,681,1,122,0,2024-08-11
106,4,446,0,0,0,2024-12-20
107,9,541,0,0,0,2024-02-22
108,9,315,1,166,0,2024-12-28
109,6,386,1,158,0,2024-05-14
110,5,512,0,0,0,2024-06-27
111,2,67,1,284,0,2024-03-05
112,2,824,1,222,0,2024-08-10
113,9,830,1,69,0,2024-02-02
114,8,172,1,206,1,2024-02-22
115,3,153,0,0,0,2024-11-12
116,3,291,1,182,1,2024-12-16
117,0,218,1,267,0,2024-04-01
118,0,781,1,249,0,2024-11-08
119,4,577,0,0,0,2024-03-11
120,9,770,1,205,0,2024-02-28
121,10,171,1,214,0,2024-10-14
122,8,746,0,0,0,2024-07-25
123,7,90,0,0,0,2024-08-26
124,3,77,1,150,0,2024-12-26
125,3,476,1,205,0,2024-10-30
126,0,752,0,0,0,2024-07-21
127,8,677,1,107,0,2024-01-15
128,0,2,1,152,0,2024-01-01
129,1,599,1,138,0,2024-07-25
130,2,436,0,0,0,2024-08-20
131,9,608,0,0,0,2024-03-24
132,7,122,1,144,1,2024-09-03
133,2,97,1,304,0,2024-01-26
134,8,430,1,190,0,2024-10-14
135,4,784,1,221,0,2024-01-17
136,2,436,1,232,0,2024-08-02
137,4,248,0,0,0,2024-05-11
138,9,547,0,0,0,2024-03-11
139,6,508,0,0,0,2024-07-19
140,4,546,0,0,0,2024-12-27
141,9,88,0,0,0,2024-10-07
142,3,981,0,0,0,2024-03-04
143,3,36,0,0,0,2024-08-01
144,0,52,0,0,0,2024-02-18
145,9,5,0,0,0,2024-12-28
146,1,995,1,246,0,2024-06-03
147,3,718,0,0,0,2024-03-26
148,3,489,1,132,1,2024-12-07
149,8,819,1,214,0,2024-10-09
150,5,926,1,135,0,2024-10-20
151,9,9,1,173,0,2024-10-24
152,6,842,1,187,1,2024-11-10
153,3,722,1,236,0,2024-11-25
154,7,917,1,179,0,2024-03-10
155,0,319,0,0,0,2024-01-27
156,6,221,1,176,0,2024-03-07
157,2,586,0,0,0,2024-08-23
158,0,633,1,150,0,2024-11-03
159,1,936,1,155,0,2024-02-22
160,6,402,1,158,1,2024-01-23
161,2,940,1,196,0,2024-07-15
162,7,671,1,197,0,2024-07-10
163,3,66,1,214,0,2024-02-10
164,2,317,0,0,0,2024-03-07
165,2,619,0,0,0,2024-02-19
166,7,446,1,121,1,2024-10-03
167,5,301,0,0,0,2024-07-13
168,8,666,1,193,0,2024-12-30
169,4,333,0,0,0,2024-09-08
170,5,215,0,0,0,2024-12-27
171,9,811,1,235,0,2024-09-29
172,8,669,0,0,0,2024-08-27
173,10,278,0,0,0,2024-07-13
174,2,239,1,160,1,2024-01-12
175,10,241,1,206,0,2024-12-20
176,8,999,0,0,0,2024-07-08
177,5,716,1,149,0,2024-12-16
178,9,364,1,204,1,2024-12-19
179,4,188,1,161,1,2024-05-06
180,7,691,1,189,0,2024-04-12
181,8,768,0,0,0,2024-05-27
182,3,126,0,0,0,2024-04-25
183,3,921,0,0,0,2024-02-12
184,8,722,1,173,0,2024-05-08
185,0,281,1,171,0,2024-01-02
186,1,616,1,259,1,2024-02-29
187,8,703,0,0,0,2024-09-24
188,0,295,0,0,0,2024-11-01
189,3,987,1,189,0,2024-10-02
190,4,182,1,160,1,2024-02-04
191,2,724,0,0,0,2024-08-13
192,9,769,1,114,1,2024-12-26
193,5,133,0,0,0,2024-04-13
194,9,148,1,114,0,2024-08-09
195,5,763,1,142,0,2024-02-19
196,1,274,0,0,0,2024-01-15
197,3,771,0,0,0,2024-01-18
198,0,995,1,162,0,2024-12-23
199,0,120,1,206,1,2024-03-14
200,10,757,0,0,0,2024-04-01
201,10,397,1,168,0,2024-12-02
202,5,43,1,223,0,2024-03-27
203,1,600,1,196,1,2024-10-19
204,5,790,1,146,1,2024-05-16
205,2,103,0,0,0,2024-06-06
206,7,35,1,155,0,2024-07-15
207,4,157,1,179,1,2024-01-26
208,5,556,1,241,0,2024-02-03
209,4,485,0,0,0,2024-12-30
210,1,460,1,212,1,2024-06-19
211,1,234,1,192,0,2024-08-08
212,5,241,1,186,0,2024-02-01
213,3,117,1,216,1,2024-06-01
214,2,650,0,0,0,2024-05-18
215,4,339,1,162,0,2024-03-29
216,7,54,0,0,0,2024-05-10
217,0,912,1,196,1,2024-11-04
218,7,212,1,202,0,2024-09-15
219,6,62,1,277,0,2024-07-10
220,0,317,1,119,0,2024-02-15
221,10,882,1,201,1,2024-01-08
222,10,373,1,290,0,2024-10-05
223,8,954,1,146,1,2024-07-02
224,3,127,1,156,0,2024-08-29
225,7,903,0,0,0,2024-01-27
226,9,813,1,136,0,2024-09-27
227,4,881,1,280,0,2024-10-16
228,3,370,1,158,1,2024-12-14
230,8,507,1,180,0,2024-12-07
231,4,55,1,108,0,2024-07-04
232,1,951,0,0,0,2024-09-10
233,9,518,0,0,0,2024-02-09
234,7,962,0,0,0,2024-05-07
235,9,404,0,0,0,2024-08-05
236,9,391,1,133,1,2024-08-02
237,6,560,1,142,0,2024-11-16
238,5,891,1,169,1,2024-01-31
239,10,797,1,164,1,2024-07-11
240,5,993,1,85,0,2024-09-25
241,6,861,1,280,1,2024-08-08
242,10,261,0,0,0,2024-07-05
243,3,280,1,189,0,2024-09-05
244,6,586,0,0,0,2024-11-29
245,1,603,1,244,1,2024-03-21
246,0,727,1,159,0,2024-07-30
247,6,471,0,0,0,2024-10-11
248,7,264,0,0,0,2024-10-22
249,3,38,1,107,0,2024-01-04
250,3,477,0,0,0,2024-08-25
251,4,601,1,177,0,2024-09-29
252,1,576,1,202,0,2024-01-20
253,1,34,1,127,0,2024-08-31
254,6,685,1,95,0,2024-12-31
255,1,55,0,0,0,2024-06-23
256,3,631,0,0,0,2024-10-26
257,3,667,1,151,0,2024-09-17
258,10,27,1,202,1,2024-07-07
259,3,432,0,0,0,2024-11-27
260,1,116,0,0,0,2024-10-24
261,10,218,1,209,0,2024-10-28
262,5,856,1,221,0,2024-07-09
263,10,886,0,0,0,2024-09-28
264,6,322,1,193,0,2024-12-01
265,2,659,1,140,0,2024-11-04
266,2,251,1,210,1,2024-05-25
267,8,232,0,0,0,2024-06-18
268,2,536,1,238,0,2024-12-15
269,3,758,0,0,0,2024-07-01
270,4,693,1,290,0,2024-02-27
271,4,800,1,181,1,2024-09-07
273,5,447,0,0,0,2024-11-04
274,7,987,0,0,0,2024-08-31
275,3,906,0,0,0,2024-02-19
276,10,855,1,229,0,2024-05-25
277,1,376,1,274,0,2024-06-08
278,1,289,0,0,0,2024-04-04
279,4,338,1,139,0,2024-06-16
280,0,433,1,247,0,2024-11-27
281,4,165,1,190,0,2024-03-23
282,5,843,1,125,1,2024-07-20
283,8,7,1,207,0,2024-05-03
284,0,60,1,237,0,2024-03-29
285,10,976,1,176,1,2024-02-21
286,8,231,1,167,0,2024-02-18
287,1,428,1,224,0,2024-09-15
288,4,587,1,211,0,2024-04-27
289,5,151,0,0,0,2024-11-05
290,0,303,1,196,0,2024-12-29
291,1,172,1,167,0,2024-06-03
292,3,630,1,245,1,2024-12-11
293,1,84,1,246,0,2024-07-18
294,10,610,1,92,0,2024-04-22
295,4,343,0,0,0,2024-12-15
296,3,615,0,0,0,2024-02-25
297,2,404,1,177,1,2024-05-15
298,10,682,0,0,0,2024-02-20
299,3,270,1,161,0,2024-04-22
300,5,242,0,0,0,2024-05-06
301,6,559,1,223,1,2024-06-26
302,4,533,1,200,0,2024-09-30
303,4,507,1,159,0,2024-10-15
304,4,417,1,137,0,2024-02-01
305,3,627,0,0,0,2024-12-23
306,2,877,1,223,0,2024-11-28
307,8,548,1,180,0,2024-06-20
308,1,467,1,243,0,2024-05-23
309,9,25,1,223,1,2024-11-19
310,5,70,1,182,1,2024-10-29
311,6,517,1,182,0,2024-01-23
312,5,219,0,0,0,2024-08-03
313,4,197,1,248,0,2024-09-14
314,5,581,0,0,0,2024-09-04
315,8,40,0,0,0,2024-01-31
316,7,723,1,199,0,2024-06-23
317,8,393,1,222,0,2024-06-12
318,10,595,0,0,0,2024-11-20
319,4,303,1,222,1,2024-05-15
320,4,763,1,207,0,2024-05-22
322,7,929,1,147,0,2024-10-06
323,3,454,1,217,0,2024-02-29
324,0,780,1,214,0,2024-06-04
325,10,434,0,0,0,2024-06-02
326,0,224,1,242,1,2024-11-21
327,0,444,1,163,0,2024-01-18
328,4,279,1,222,1,2024-05-11
329,8,232,0,0,0,2024-01-12
330,2,333,0,0,0,2024-02-06
331,7,206,0,0,0,2024-11-20
332,7,881,1,138,0,2024-01-28
333,10,713,1,173,1,2024-11-22
334,1,95,1,167,1,2024-08-09
335,10,291,1,183,0,2024-04-02
336,0,910,1,245,0,2024-08-29
337,1,425,1,84,1,2024-01-14
338,10,402,1,164,1,2024-01-21
339,0,564,1,259,0,2024-02-12
340,1,467,0,0,0,2024-03-24
341,9,106,0,0,0,2024-07-25
342,4,771,1,247,0,2024-09-26
343,10,490,0,0,0,2024-12-04
344,6,59,0,0,0,2024-07-01
345,3,941,1,192,0,2024-09-03
346,10,986,1,191,1,2024-04-03
347,4,833,1,125,0,2024-07-01
348,7,184,1,136,1,2024-01-19
349,4,915,1,199,0,2024-02-26
350,10,160,0,0,0,2024-07-29
351,7,414,1,250,0,2024-08-16
352,10,898,0,0,0,2024-04-25
353,9,272,0,0,0,2024-03-01
354,6,784,0,0,0,2024-05-26
355,8,359,0,0,0,2024-03-21
356,3,14,1,151,1,2024-05-13
357,2,243,1,145,1,2024-11-06
358,5,616,0,0,0,2024-05-03
359,8,251,1,178,0,2024-01-10
360,5,532,1,170,1,2024-08-14
361,5,951,1,194,1,2024-02-03
362,0,995,0,0,0,2024-06-01
363,6,194,0,0,0,2024-07-21
364,3,86,1,278,1,2024-12-19
365,8,177,1,126,0,2024-04-03
366,10,108,1,216,0,2024-01-16
367,10,651,1,220,0,2024-07-06
368,4,267,0,0,0,2024-06-07
369,10,221,1,150,0,2024-03-26
370,7,948,0,0,0,2024-05-12
371,8,850,1,196,1,2024-08-04
372,9,537,0,0,0,2024-09-01
373,0,26,1,134,0,2024-08-28
374,8,628,1,209,1,2024-06-20
375,3,404,0,0,0,2024-11-06
376,1,553,1,165,0,2024-10-31
377,0,442,0,0,0,2024-10-30
378,7,219,1,132,0,2024-12-09
379,5,274,0,0,0,2024-10-13
380,8,10,1,203,0,2024-07-30
381,4,757,1,129,0,2024-12-24
382,8,771,1,216,1,2024-08-27
383,10,840,1,127,0,2024-07-22
384,3,863,1,196,0,2024-02-05
385,9,898,1,164,0,2024-08-01
386,1,405,0,0,0,2024-01-19
387,8,896,1,218,0,2024-06-28
388,0,254,1,76,0,2024-09-20
389,4,567,1,204,1,2024-01-19
390,4,543,1,154,0,2024-05-06
391,6,806,1,256,0,2024-07-01
392,2,581,1,194,1,2024-02-11
393,0,539,1,210,0,2024-08-31
394,3,417,0,0,0,2024-05-16
395,0,829,1,183,1,2024-05-15
396,4,910,0,0,0,2024-11-02
397,10,294,1,199,1,2024-01-21
398,8,750,1,189,1,2024-05-13
399,9,533,1,158,0,2024-09-20
400,0,741,0,0,0,2024-08-14
401,0,196,0,0,0,2024-05-12
402,9,654,1,139,0,2024-08-31
403,4,732,1,205,0,2024-08-30
404,4,350,1,169,1,2024-11-10
405,10,961,1,90,0,2024-05-11
406,8,34,1,153,0,2024-04-22
407,0,474,0,0,0,2024-01-18
408,8,298,1,236,1,2024-01-09
409,2,312,1,213,0,2024-12-24
410,3,373,1,254,0,2024-04-21
411,5,701,0,0,0,2024-10-25
412,9,73,0,0,0,2024-06-03
413,5,616,0,0,0,2024-03-14
414,4,305,1,248,0,2024-01-17
415,6,926,1,208,0,2024-09-17
416,9,130,1,142,0,2024-05-18
417,8,427,1,198,0,2024-10-05
418,8,127,1,113,1,2024-03-09
419,3,608,1,137,0,2024-06-15
420,1,674,1,163,0,2024-12-13
421,1,488,0,0,0,2024-10-27
422,3,214,1,163,1,2024-04-15
423,3,151,1,194,0,2024-04-07
424,0,679,1,62,1,2024-10-17
425,7,514,1,330,0,2024-04-15
426,5,704,1,210,0,2024-07-18
427,3,60,1,76,0,2024-09-05
428,4,793,1,113,0,2024-11-09
429,2,953,0,0,0,2024-05-07
430,0,217,1,191,0,2024-05-04
431,10,76,0,0,0,2024-01-14
432,1,963,1,218,0,2024-01-02
433,6,839,0,0,0,2024-02-26
434,1,547,1,155,1,2024-12-16
435,6,625,1,172,0,2024-09-23
436,5,963,1,173,1,2024-01-29
437,4,474,1,232,0,2024-07-20
438,7,381,1,286,0,2024-06-04
439,6,531,1,207,1,2024-11-16
440,10,424,1,207,1,2024-05-18
441,6,653,1,179,0,2024-04-05
442,9,90,0,0,0,2024-06-15
443,8,10,1,210,0,2024-06-21
444,7,127,1,169,0,2024-10-14
445,2,179,1,201,0,2024-04-09
446,0,930,1,119,1,2024-11-14
447,0,722,1,210,1,2024-01-08
448,8,479,1,179,0,2024-05-27
449,1,760,0,0,0,2024-08-30
450,0,275,0,0,0,2024-03-30
451,6,506,1,196,0,2024-12-28
452,10,433,0,0,0,2024-01-13
453,6,700,1,122,0,2024-07-15
454,9,784,1,200,1,2024-04-12
455,6,60,1,215,0,2024-03-01
456,6,77,1,238,0,2024-02-05
457,4,928,0,0,0,2024-03-18
458,10,870,0,0,0,2024-09-24
459,2,180,1,241,0,2024-06-28
460,6,765,1,140,0,2024-10-04
461,1,474,0,0,0,2024-05-20
462,7,425,1,142,1,2024-06-05
463,2,799,1,203,1,2024-05-03
464,10,214,1,171,0,2024-09-28
465,7,165,1,197,0,2024-11-21
466,7,758,1,223,0,2024-08-13
467,2,945,1,226,1,2024-01-15
468,1,104,0,0,0,2024-10-06
469,0,144,1,170,0,2024-12-29
470,1,614,1,318,0,2024-02-19
471,3,97,1,181,0,2024-11-16
472,4,584,1,217,0,2024-03-16
473,9,326,0,0,0,2024-03-19
474,8,911,1,118,0,2024-08-03
475,0,111,1,82,0,2024-03-01
476,2,683,1,154,0,2024-05-22
477,1,379,0,0,0,2024-09-10
478,3,265,1,244,0,2024-01-05
479,10,921,1,224,1,2024-03-23
480,1,343,1,216,0,2024-09-03
481,9,62,0,0,0,2024-02-06
482,8,883,0,0,0,2024-03-02
483,8,194,1,68,1,2024-09-04
484,8,853,1,111,1,2024-05-01
485,6,811,0,0,0,2024-07-03
486,2,839,1,164,0,2024-11-10
487,10,100,0,0,0,2024-11-18
488,2,422,1,200,1,2024-10-23
489,0,731,1,142,1,2024-11-13
490,3,26,0,0,0,2024-09-06
491,4,401,1,247,0,2024-03-14
492,3,438,0,0,0,2024-10-03
493,5,216,1,265,0,2024-04-16
494,3,768,0,0,0,2024-08-03
495,3,739,1,210,0,2024-04-03
496,2,817,1,133,0,2024-01-01
497,5,535,0,0,0,2024-05-05
498,2,206,1,168,1,2024-09-18
499,4,747,1,225,0,2024-05-27
500,8,187,1,229,0,2024-11-13
501,6,245,1,139,1,2024-06-05
502,2,77,1,221,1,2024-01-01
503,4,444,1,177,0,2024-01-28
504,7,652,1,155,0,2024-11-06
505,8,643,1,182,1,2024-11-20
506,1,881,1,154,0,2024-10-05
507,2,1000,0,0,0,2024-10-10
508,0,813,1,199,1,2024-04-26
509,3,743,1,103,0,2024-05-11
510,7,5,1,232,1,2024-05-09
511,9,622,1,119,0,2024-06-08
512,10,400,1,161,1,2024-06-28
513,3,389,0,0,0,2024-07-20
514,1,194,1,336,0,2024-05-06
515,4,892,1,160,1,2024-10-23
516,8,263,1,170,0,2024-09-23
517,0,642,1,129,1,2024-02-18
518,10,309,0,0,0,2024-01-05
519,10,257,1,230,1,2024-09-15
520,8,395,0,0,0,2024-03-18
521,2,832,0,0,0,2024-02-24
522,9,46,0,0,0,2024-02-27
523,5,690,1,137,0,2024-08-20
524,10,177,0,0,0,2024-07-27
525,9,816,1,199,1,2024-07-20
526,0,950,1,117,0,2024-12-03
527,2,551,1,242,0,2024-10-29
528,1,220,1,128,1,2024-01-12
529,4,409,1,249,0,2024-07-21
530,9,68,1,215,1,2024-02-15
531,2,54,1,164,1,2024-01-17
532,9,111,1,165,1,2024-01-29
533,4,520,0,0,0,2024-04-11
534,4,833,1,188,0,2024-12-24
535,8,519,1,143,1,2024-04-18
536,5,190,0,0,0,2024-08-30
537,10,696,1,125,0,2024-08-02
538,3,639,1,209,0,2024-10-26
539,4,519,1,143,0,2024-09-03
540,0,492,0,0,0,2024-07-30
541,3,882,1,222,1,2024-11-29
542,8,79,1,123,1,2024-07-04
543,7,779,1,193,0,2024-05-04
544,8,906,1,255,0,2024-12-05
545,3,541,1,123,0,2024-08-23
546,6,387,1,199,0,2024-05-10
547,0,61,0,0,0,2024-10-25
548,1,587,1,253,0,2024-09-03
549,3,443,1,182,1,2024-06-29
550,5,666,1,202,1,2024-09-19
551,3,164,1,204,0,2024-03-09
552,10,673,1,300,0,2024-04-08
553,1,0,0,0,0,2024-06-19
554,10,710,0,0,0,2024-01-27
555,7,680,1,216,0,2024-03-18
556,5,457,1,187,0,2024-07-14
557,5,395,0,0,0,2024-01-11
558,4,150,0,0,0,2024-03-01
559,9,748,1,268,0,2024-06-30
560,10,115,1,298,0,2024-09-25
561,3,763,1,164,0,2024-06-25
562,2,256,0,0,0,2024-05-08
563,6,624,0,0,0,2024-03-03
564,8,487,1,184,1,2024-09-22
565,6,429,1,244,0,2024-12-15
566,5,878,0,0,0,2024-12-02
567,1,930,1,235,0,2024-09-05
568,8,96,1,197,0,2024-08-31
569,8,835,1,185,0,2024-03-27
570,9,519,1,171,0,2024-10-23
571,8,541,1,191,1,2024-04-15
572,9,454,1,200,1,2024-01-22
573,6,346,1,184,1,2024-10-30
574,1,247,0,0,0,2024-09-11
575,10,320,1,171,0,2024-06-03
576,6,222,0,0,0,2024-12-25
577,8,404,0,0,0,2024-10-08
578,8,676,1,324,1,2024-02-20
579,8,778,1,248,0,2024-09-24
580,2,963,0,0,0,2024-02-11
581,9,299,0,0,0,2024-04-14
582,4,132,0,0,0,2024-03-22
583,3,413,0,0,0,2024-07-01
584,6,588,1,183,0,2024-04-27
585,3,101,1,113,0,2024-01-31
586,2,582,0,0,0,2024-10-31
587,1,138,1,213,0,2024-04-07
588,9,127,0,0,0,2024-06-14
589,10,520,1,140,0,2024-09-08
590,3,559,1,213,0,2024-11-15
591,4,603,1,263,0,2024-06-27
592,0,916,1,150,0,2024-11-09
593,1,969,1,67,0,2024-11-16
594,5,769,1,264,0,2024-05-25
595,5,992,0,0,0,2024-01-26
596,1,423,1,143,0,2024-04-02
597,8,890,0,0,0,2024-07-14
598,1,176,1,216,0,2024-09-20
599,8,558,1,141,1,2024-02-05
600,8,617,1,176,0,2024-03-29
601,5,254,1,272,0,2024-10-02
602,7,423,1,177,0,2024-01-30
603,5,636,1,137,0,2024-05-04
604,1,518,1,182,0,2024-03-19
605,5,819,1,230,0,2024-12-21
606,8,903,1,198,1,2024-09-17
607,9,812,0,0,0,2024-05-01
608,0,494,0,0,0,2024-03-28
609,6,476,0,0,0,2024-11-29
610,7,145,0,0,0,2024-10-24
611,6,329,1,225,0,2024-10-05
612,1,122,1,206,1,2024-08-04
613,9,811,0,0,0,2024-02-02
614,10,823,0,0,0,2024-02-19
615,3,280,0,0,0,2024-01-31
616,3,634,0,0,0,2024-11-30
617,1,96,0,0,0,2024-06-15
618,2,529,1,130,0,2024-06-14
619,7,952,0,0,0,2024-10-18
620,8,144,1,179,1,2024-02-13
621,2,283,1,169,0,2024-06-15
622,2,84,1,195,0,2024-09-08
623,9,429,1,206,1,2024-10-15
624,0,771,1,253,0,2024-09-10
625,3,373,0,0,0,2024-03-13
626,7,696,0,0,0,2024-07-29
627,5,937,1,104,1,2024-05-19
628,4,15,1,89,1,2024-04-21
629,9,605,0,0,0,2024-09-06
630,3,387,1,162,0,2024-03-02
631,2,210,1,141,0,2024-03-19
632,7,839,1,62,0,2024-01-07
633,9,935,1,246,0,2024-04-02
634,4,998,1,109,0,2024-08-15
635,9,550,1,193,1,2024-02-24
636,9,770,1,222,1,2024-12-04
637,3,887,1,119,1,2024-05-15
638,2,221,0,0,0,2024-07-09
639,10,540,1,241,0,2024-06-27
640,3,558,1,267,0,2024-10-09
641,8,890,1,302,0,2024-01-01
642,6,816,1,91,1,2024-02-14
643,6,404,1,205,0,2024-08-21
644,9,806,1,108,0,2024-10-22
645,0,760,1,150,0,2024-09-15
646,6,715,1,131,0,2024-11-05
647,3,675,1,223,1,2024-11-07
648,8,557,1,122,0,2024-09-21
649,2,993,1,220,1,2024-05-02
650,1,897,1,254,1,2024-09-11
651,6,473,1,200,0,2024-05-25
652,3,756,1,155,1,2024-05-30
653,6,73,1,130,1,2024-01-08
654,9,127,0,0,0,2024-09-14
655,10,458,1,161,1,2024-09-25
656,8,520,1,169,1,2024-09-21
657,10,52,0,0,0,2024-07-09
658,4,907,1,150,0,2024-09-12
659,0,506,1,103,1,2024-05-04
660,4,19,1,152,1,2024-12-04
661,2,106,1,228,0,2024-02-25
662,4,667,0,0,0,2024-07-21
663,7,806,0,0,0,2024-03-16
664,2,506,0,0,0,2024-06-21
665,6,921,1,123,1,2024-07-20
666,6,216,1,187,0,2024-02-15
667,1,26,1,188,0,2024-04-14
668,10,433,1,108,0,2024-02-24
669,10,604,0,0,0,2024-01-06
670,2,407,1,159,0,2024-08-31
671,1,357,1,191,0,2024-12-12
672,2,288,1,102,1,2024-08-22
673,2,329,1,188,0,2024-07-23
674,10,111,1,165,0,2024-08-05
675,0,2,1,208,0,2024-08-13
676,7,886,1,186,1,2024-03-26
677,5,949,1,192,0,2024-08-22
678,1,695,1,168,0,2024-11-06
679,5,942,1,175,0,2024-05-12
680,0,837,0,0,0,2024-11-06
681,8,122,1,221,1,2024-08-13
682,1,0,1,244,0,2024-11-20
683,8,18,1,236,1,2024-07-27
684,3,909,1,98,1,2024-04-21
685,8,431,0,0,0,2024-01-21
686,2,561,0,0,0,2024-09-12
687,10,587,0,0,0,2024-05-30
688,4,519,0,0,0,2024-10-25
689,4,881,1,49,1,2024-02-01
690,9,829,1,177,0,2024-07-11
691,8,210,1,211,0,2024-07-02
692,4,303,1,177,0,2024-12-01
693,5,678,1,107,0,2024-01-03
694,4,785,1,265,0,2024-11-27
695,2,434,0,0,0,2024-07-09
696,8,623,1,179,0,2024-06-28
697,0,933,1,99,0,2024-11-13
698,9,66,1,106,0,2024-11-22
699,1,701,1,115,1,2024-03-29
700,10,305,1,156,0,2024-11-15
701,5,700,1,132,0,2024-05-30
702,6,742,1,199,1,2024-01-28
703,4,216,0,0,0,2024-02-24
704,7,418,1,176,1,2024-05-10
705,5,27,1,219,0,2024-12-10
706,8,492,0,0,0,2024-07-02
707,0,601,1,263,0,2024-07-23
708,5,991,1,160,1,2024-05-09
709,10,333,1,228,1,2024-05-08
710,4,476,1,176,1,2024-06-25
711,2,156,1,160,0,2024-06-01
712,10,411,1,210,0,2024-07-07
713,7,551,0,0,0,2024-08-05
714,5,942,0,0,0,2024-06-23
715,4,499,1,157,1,2024-01-16
716,6,169,0,0,0,2024-10-08
717,9,464,0,0,0,2024-07-24
718,1,592,1,238,0,2024-10-14
719,2,201,1,156,0,2024-01-08
720,2,625,1,113,1,2024-09-10
721,10,593,1,159,0,2024-04-03
722,4,977,1,191,0,2024-10-22
723,4,636,0,0,0,2024-05-20
724,2,108,1,218,0,2024-10-21
725,0,244,1,190,1,2024-11-14
726,6,895,1,177,0,2024-07-13
727,5,830,0,0,0,2024-09-09
728,9,796,0,0,0,2024-11-16
729,0,618,1,239,0,2024-05-29
730,4,528,1,178,0,2024-09-23
731,0,827,0,0,0,2024-04-09
732,7,258,1,219,0,2024-04-24
733,2,976,0,0,0,2024-06-12
734,0,778,1,186,1,2024-06-23
735,1,156,1,190,0,2024-10-27
